Density:0.3, Vertices: 50, Time: 0.0000 seconds, MST Weight by list: 64
Density:0.4, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 57
Density:0.5, Vertices: 50, Time: 0.0016 seconds, MST Weight by list: 54
Density:0.6, Vertices: 50, Time: 0.0020 seconds, MST Weight by list: 50
Density:0.7, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 51
Density:0.8, Vertices: 50, Time: 0.0021 seconds, MST Weight by list: 50
Density:0.1, Vertices: 70, Time: 0.0010 seconds, MST Weight by list: 146
Density:0.2, Vertices: 70, Time: 0.0020 seconds, MST Weight by list: 101
Density:0.3, Vertices: 70, Time: 0.0030 seconds, MST Weight by list: 79
Density:0.4, Vertices: 70, Time: 0.0027 seconds, MST Weight by list: 75
Density:0.5, Vertices: 70, Time: 0.0021 seconds, MST Weight by list: 70
Density:0.6, Vertices: 70, Time: 0.0030 seconds, MST Weight by list: 69
Density:0.7, Vertices: 70, Time: 0.0031 seconds, MST Weight by list: 69
Density:0.8, Vertices: 70, Time: 0.0046 seconds, MST Weight by list: 69
Density:0.1, Vertices: 90, Time: 0.0010 seconds, MST Weight by list: 185
Density:0.2, Vertices: 90, Time: 0.0040 seconds, MST Weight by list: 108
Density:0.3, Vertices: 90, Time: 0.0040 seconds, MST Weight by list: 98
Density:0.4, Vertices: 90, Time: 0.0030 seconds, MST Weight by list: 90
Density:0.5, Vertices: 90, Time: 0.0035 seconds, MST Weight by list: 90
Density:0.6, Vertices: 90, Time: 0.0081 seconds, MST Weight by list: 90
Density:0.7, Vertices: 90, Time: 0.0050 seconds, MST Weight by list: 89
Density:0.8, Vertices: 90, Time: 0.0067 seconds, MST Weight by list: 89
Density:0.1, Vertices: 100, Time: 0.0020 seconds, MST Weight by list: 153
Density:0.2, Vertices: 100, Time: 0.0046 seconds, MST Weight by list: 119
Density:0.3, Vertices: 100, Time: 0.0060 seconds, MST Weight by list: 105
Density:0.4, Vertices: 100, Time: 0.0062 seconds, MST Weight by list: 102
Density:0.5, Vertices: 100, Time: 0.0055 seconds, MST Weight by list: 101
Density:0.6, Vertices: 100, Time: 0.0077 seconds, MST Weight by list: 100
Density:0.7, Vertices: 100, Time: 0.0079 seconds, MST Weight by list: 101
Density:0.8, Vertices: 100, Time: 0.0088 seconds, MST Weight by list: 99
Density:0.1, Vertices: 120, Time: 0.0026 seconds, MST Weight by list: 192
Density:0.2, Vertices: 120, Time: 0.0068 seconds, MST Weight by list: 138
Density:0.3, Vertices: 120, Time: 0.0093 seconds, MST Weight by list: 123
Density:0.4, Vertices: 120, Time: 0.0129 seconds, MST Weight by list: 119
Density:0.5, Vertices: 120, Time: 0.0084 seconds, MST Weight by list: 119
Density:0.6, Vertices: 120, Time: 0.0105 seconds, MST Weight by list: 119
Density:0.7, Vertices: 120, Time: 0.0108 seconds, MST Weight by list: 120
Density:0.8, Vertices: 120, Time: 0.0134 seconds, MST Weight by list: 119
Density:0.1, Vertices: 150, Time: 0.0050 seconds, MST Weight by list: 193
Density:0.2, Vertices: 150, Time: 0.0092 seconds, MST Weight by list: 162
Density:0.3, Vertices: 150, Time: 0.0134 seconds, MST Weight by list: 150
Density:0.4, Vertices: 150, Time: 0.0184 seconds, MST Weight by list: 149
Density:0.5, Vertices: 150, Time: 0.0106 seconds, MST Weight by list: 149
Density:0.6, Vertices: 150, Time: 0.0246 seconds, MST Weight by list: 149
Density:0.7, Vertices: 150, Time: 0.0163 seconds, MST Weight by list: 149
Density:0.8, Vertices: 150, Time: 0.0210 seconds, MST Weight by list: 149
Density:0.1, Vertices: 180, Time: 0.0060 seconds, MST Weight by list: 225
